,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
0,0,7,0,0,0,0,0,2,0,0,0,0,0,1,0,15,3,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1
1,0,10,0,1,0,0,0,0,1,1,0,0,0,1,0,25,8,0,1,0,0,0,0,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,3
2,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,0,4,1,0,1,2,8,4,0,0,0,1,2,1,0,0,0,1,0,0,0,1,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,6,0,0,0,0,0,1,0,0,1,5,0,0,2,1,0,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,9
3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15,2,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
4,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,40,5,0,0,0,0,1,7,12,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,4,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,6,0,0,2
5,1,8,0,1,0,0,0,1,4,0,0,0,0,0,0,18,2,1,1,0,0,1,2,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,1,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,4
6,0,7,0,2,0,0,0,2,0,1,0,0,0,1,0,24,4,0,0,0,0,0,5,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,7,0,0,8
7,1,6,0,0,0,1,0,0,0,1,0,0,0,1,0,22,3,0,1,0,0,1,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,3
8,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,1,1,8,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2
9,0,13,0,0,0,0,0,1,1,2,0,0,0,1,0,39,4,1,0,0,0,1,3,7,6,0,0,0,1,2,0,1,0,1,1,0,0,0,0,3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,5,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,1,0,1,0,1,0,0,0,1,4,0,0,0,0,4,0,3,1,0,0,0,0,0,1,0,1,0,1,1,5,0,0,5
10,1,5,0,0,0,0,0,2,0,1,0,0,0,0,0,23,3,0,1,0,0,2,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4
11,0,7,0,0,0,1,0,0,0,2,0,0,0,0,0,26,2,0,1,0,0,1,2,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,10,0,0,6
12,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,25,4,0,0,0,0,0,4,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,7
13,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,19,2,0,0,0,0,0,2,3,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,4
14,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,17,4,0,0,0,0,0,3,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
15,0,5,0,1,0,0,0,1,0,0,0,0,0,1,0,16,0,0,0,0,0,0,3,8,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
16,0,5,0,0,0,0,0,2,0,1,0,0,0,1,0,14,1,0,1,0,0,0,1,6,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
17,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,15,4,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2
18,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,13,4,0,1,0,0,1,2,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,2
19,0,12,0,0,0,0,0,4,1,0,0,0,0,2,0,32,5,0,1,0,0,0,7,7,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,1,0,0,1,0,1,0,0,0,1,2,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,9,0,0,4
